Speaker	Vowel	Context	F1/S(F1)	F2/S(F2)	F1g/S(F1g)	F2g/S(F2g)
610	BAT	at	1.709	1.033	NA	NA
610	THOUGHT	concentrations	1.494	1.181	NA	NA
610	DRESS	concentrations	1.248	1.346	NA	NA
610	FACE	concentrations	0.875	1.581	NA	NA
610	THOUGHT	concentrations	1.481	1.283	NA	NA
610	HOAX	ozone	0.906	0.682	NA	NA
610	HOAX	ozone	1.074	1.091	NA	NA
610	BAT	can	1.616	1.311	NA	NA
610	FLEECE	be	0.867	1.652	NA	NA
610	THOUGHT	toxic	1.285	0.975	NA	NA
610	HAPPY	toxic	0.81	1.6	NA	NA
610	STEW	to	1.018	1.651	NA	NA
610	GLARE	air	1.312	1.229	NA	NA
610	THOUGHT	borne	1.046	0.596	NA	NA
610	BAT	bacteria	1.685	1.005	NA	NA
610	HAPPY	bacteria	1.009	1.849	NA	NA
610	HAPPY	bacteria	1.272	1.311	NA	NA
610	BAT	bacteria	1.598	1.342	NA	NA
610	BAT	and	1.628	0.798	NA	NA
610	FACE	may	1.244	1.618	NA	NA
610	HAPPY	destroy	0.828	1.402	NA	NA
610	THOUGHT	or	1.184	0.996	NA	NA
610	HAPPY	kill	0.875	1.434	NA	NA
610	FLEECE	these	0.796	1.87	NA	NA
610	THOUGHT	sometimes	1.476	1.033	NA	NA
610	HAPPY	infectious	0.948	1.414	NA	NA
610	DRESS	infectious	1.133	1.272	NA	NA
610	YOU	infectious	0.955	1.157	NA	NA
610	THOUGHT	organisms	1.078	1.175	NA	NA
610	BAT	organisms	0.665	1.127	NA	NA
610	HAPPY	organisms	0.927	1.379	NA	NA
610	BAT	organisms	1.415	1.265	NA	NA
610	HAPPY	the	0.861	1.158	NA	NA
610	STEW	google	0.698	0.646	NA	NA
610	FOOT	google	0.805	0.544	NA	NA
610	BAT	assistant	1.689	1.128	NA	NA
610	HAPPY	assistant	0.947	0.981	NA	NA
610	BAT	assistant	1.542	1.005	NA	NA
610	BAT	can	1.688	1.01	NA	NA
610	THOUGHT	work	1.314	0.858	NA	NA
610	HAPPY	with	0.818	1.269	NA	NA
610	STEW	google	0.787	0.599	NA	NA
610	FOOT	google	1.43	0.949	NA	NA
610	BAT	partners	1.561	1.151	NA	NA
610	BAT	partners	1.563	1.253	NA	NA
610	STEW	to	1.001	1.422	NA	NA
610	DRESS	help	1.485	1.085	NA	NA
610	YOU	you	0.757	1.807	NA	NA
610	DRESS	get	1.131	1.514	NA	NA
610	HAPPY	things	1.13	1.587	NA	NA
610	THOUGHT	done	1.368	1.063	NA	NA
610	DRESS	whether	1.397	1.168	NA	NA
610	BAT	whether	1.412	1.243	NA	NA
610	HAPPY	it's	1.029	1.346	NA	NA
610	HAPPY	buying	1.637	1.734	NA	NA
610	STEW	movie	0.934	1.097	NA	NA
610	HAPPY	movie	0.727	1.783	NA	NA
610	HAPPY	tickets	0.795	1.839	NA	NA
610	HAPPY	tickets	1.151	1.505	NA	NA
610	THOUGHT	or	1.134	0.824	NA	NA
610	DRESS	getting	1.116	1.618	NA	NA
610	HAPPY	getting	0.66	0.905	NA	NA
610	FOOT	your	1.042	1.645	NA	NA
610	BAT	your	1.002	1.395	NA	NA
610	HAPPY	sink	1.18	1.501	NA	NA
610	HAPPY	repaired	0.936	1.235	NA	NA
610	GLARE	repaired	1.267	1.489	NA	NA
610	BAT	the	0.93	1.091	NA	NA
610	STEW	google	0.812	0.686	NA	NA
610	FOOT	google	0.793	0.713	NA	NA
610	BAT	assistant	1.813	0.818	NA	NA
610	HAPPY	assistant	0.98	0.99	NA	NA
610	BAT	assistant	1.477	1.378	NA	NA
610	STEW	uses	0.729	1.657	NA	NA
610	DRESS	uses	0.851	1.346	NA	NA
610	HAPPY	recordings	0.967	0.607	NA	NA
610	THOUGHT	recordings	1.177	0.771	NA	NA
610	HAPPY	recordings	1.071	1.398	NA	NA
610	STEW	to	0.781	1.409	NA	NA
610	FLEECE	create	0.907	1.501	NA	NA
610	FACE	create	0.861	1.698	NA	NA
610	DRESS	and	1.344	1.284	NA	NA
610	THOUGHT	update	1.225	0.812	NA	NA
610	FACE	update	0.771	1.881	NA	NA
610	HAPPY	his	0.841	1.505	NA	NA
610	THOUGHT	model	1.254	0.861	NA	NA
610	DRESS	model	1.179	1.025	NA	NA
610	HAPPY	which	0.752	1.487	NA	NA
610	HAPPY	is	0.729	1.425	NA	NA
610	HOAX	only	1.448	0.995	NA	NA
610	HAPPY	only	0.893	1.829	NA	NA
610	THOUGHT	stored	1.272	0.782	NA	NA
610	THOUGHT	on	1.249	0.913	NA	NA
610	HAPPY	devices	0.674	1.828	NA	NA
610	DRESS	devices	0.874	1.563	NA	NA
610	GLARE	where	1.219	1.265	NA	NA
610	BAT	match	1.858	1.082	NA	NA
610	HAPPY	is	0.89	1.568	NA	NA
610	GIRL	turned	1.564	1.216	NA	NA
610	THOUGHT	on	1.596	0.99	NA	NA
610	HAPPY	the	0.567	1.624	NA	NA
610	HAPPY	geographical	0.949	1.331	NA	NA
610	THOUGHT	geographical	0.989	0.949	NA	NA
610	BAT	geographical	1.781	1.113	NA	NA
610	HAPPY	geographical	0.843	1.444	NA	NA
610	BAT	geographical	1.524	0.992	NA	NA
610	HOAX	location	0.883	0.819	NA	NA
610	FACE	location	0.866	1.753	NA	NA
610	THOUGHT	location	1.291	1.333	NA	NA
610	THOUGHT	of	1.325	1.112	NA	NA
610	HAPPY	the	0.921	1.53	NA	NA
610	THOUGHT	upper	1.458	0.842	NA	NA
610	BAT	upper	1.321	1.049	NA	NA
610	FLEECE	region	0.72	1.752	NA	NA
610	THOUGHT	region	1.499	1.253	NA	NA
610	FACE	changed	0.941	1.555	NA	NA
610	HOAX	over	1.026	1.226	NA	NA
610	BAT	over	1.2	1.159	NA	NA
610	HAPPY	depending	0.859	1.668	NA	NA
610	DRESS	depending	1.561	1.453	NA	NA
610	HAPPY	depending	1.152	1.8	NA	NA
610	BAT	on	1.526	1.32	NA	NA
610	FACE	the	0.925	1.445	NA	NA
610	HOAX	location	0.99	1.119	NA	NA
